Year	Month	TMax	TMin	PAR	Prec	CO2
1805-2006	1	15.1	-13.2	638.7	11.0	340
1805-2006	2	19.6	-11.5	774.6	12.0	340
1805-2006	3	25.3	-7.8	912.7	12.0	340
1805-2006	4	27.8	-3.2	1023.1	12.5	340
1805-2006	5	32.3	0.57	1018.9	17.7	340
1805-2006	6	37.2	9.0	1033.5	14.8	340
1805-2006	7	37.0	12.9	903.8	45.0	340
1805-2006	8	35.3	11.2	919.0	43.8	340
1805-2006	9	32.9	4.5	873.2	35.0	340
1805-2006	10	27.1	-2.9	778.0	25.4	340
1805-2006	11	22.4	-7.8	699.4	9.23	340
1805-2006	12	18.2	-15.0	564.1	12.65	340
2007	1	11.86	-13.39	564.2884604	16.51	386.05831
2007	2	17.93	-8.45	698.7373857	17.272	386.05831
2007	3	24.73	-10.18	872.0774297	29.21	386.05831
2007	4	25.05	-2.853	930.558227	40.132	386.05831
2007	5	27.72	3.424	890.4586879	41.449	386.05831
2007	6	35.24	8.7	1069.002975	9.28	386.05831
2007	7	36.35	12.75	891.1145046	37.338	386.05831
2007	8	34.15	13.64	927.9078873	50.806	386.05831
2007	9	30.44	6.647	875.3265653	57.138	386.05831
2007	10	26.67	-3.804	836.2517066	4.064	386.05831
2007	11	21.84	-9.4	660.5103599	2.794	386.05831
2007	12	17.03	-10.49	579.8565851	35.304	386.05831
2008	1	11.81	-14.41	622.1560735	12.192	387.37214
2008	2	19.35	-8.78	792.4581778	19.558	387.37214
2008	3	21.74	-9.21	930.003888	10.922	387.37214
2008	4	25.86	-5.333	1045.237759	4.826	387.37214
2008	5	31.97	0.023	1014.716415	11.176	387.37214
2008	6	34.43	8.84	1042.494241	0	387.37214
2008	7	33.24	11.32	836.71173	103.68	387.37214
2008	8	32.81	11.46	918.0092132	78.738	387.37214
2008	9	29.71	5.53	900.8359987	11.176	387.37214
2008	10	26.3	-2.018	775.7665986	60.198	387.37214
2008	11	21.96	-7.66	671.0031901	4.064	387.37214
2008	12	20.11	-10.58	532.7926782	14.224	387.37214
2009	1	15.28	-9.97	675.6647253	12.954	388.68597
2009	2	21.74	-6.847	818.4558495	5.842	388.68597
2009	3	22.03	-8.15	848.6262838	7.874	388.68597
2009	4	26.15	-5.285	995.1007921	11.684	388.68597
2009	5	30.89	5.775	954.0686795	29.464	388.68597
2009	6	32.01	7.64	872.7254959	20.32	388.68597
2009	7	35.45	11.82	975.2478516	61.224	388.68597
2009	8	34.6	9.64	925.9059168	34.034	388.68597
2009	9	30.5	1.448	827.4844325	39.878	388.68597
2009	10	25.11	-5.346	753.2900419	40.64	388.68597
2009	11	21.76	-7.65	649.3613076	18.034	388.68597
2009	12	10.55	-15.17	549.8084281	28.448	388.68597
2010	1	11	-13.59	597.8186416	29.464	389.9998
2010	2	14.16	-11.08	664.3032224	31.75	389.9998
2010	3	25.19	-7.07	841.1333814	39.37	389.9998
2010	4	23.61	-4.154	981.633225	24.638	389.9998
2010	5	29.94	0.58	1078.867011	21.082	389.9998
2010	6	36.58	11.52	1071.201277	9.906	389.9998
2010	7	36.54	12.28	911.8461574	85.344	389.9998
2010	8	34.09	8.21	926.8357555	9.398	389.9998
2010	9	31.65	7.02	940.7661129	21.336	389.9998
2010	10	28.98	-1.894	770.7613075	33.528	389.9998
2010	11	20.38	-6.738	746.4009811	0	389.9998
2010	12	19.34	-12.19	593.8128538	13.208	389.9998
2011	1	14.45	-14.31	733.7563301	2.794	391.31363
2011	2	19.83	-29.31	899.0968165	16.764	391.31363
2011	3	23.54	-5.562	1071.875151	1.016	391.31363
2011	4	27.1	-1.547	1163.090874	0.254	391.31363
2011	5	32.45	-5.237	1156.452299	0	391.31363
2011	6	35.79	11.5	1111.923794	1.524	391.31363
2011	7	35.1	13.5	904.3521997	26.67	391.31363
2011	8	34.92	14.16	896.3029707	38.61	391.31363
2011	9	32.76	7.38	821.6474301	24.132	391.31363
2011	10	26	-1.166	753.8026723	39.116	391.31363
2011	11	21.46	-6.405	769.9430714	5.588	391.31363
2011	12	18.3	-22.2	593.8128538	91.4	391.31363
2012	1	22.2	-9.4	597.8186416	0	392.62746
2012	2	24.4	-7.8	664.3032224	0.8	392.62746
2012	3	30.6	-6.1	841.1333814	2.5	392.62746
2012	4	34.4	0	981.633225	4.4	392.62746
2012	5	36.7	1.1	1078.867011	13.2	392.62746
2012	6	42.8	7.2	1071.201277	0.5	392.62746
2012	7	42.2	14.4	911.8461574	17.3	392.62746
2012	8	40	9.4	926.8357555	23	392.62746
2012	9	39.4	4.4	940.7661129	27	392.62746
2012	10	34.4	-3.9	770.7613075	0	392.62746
2012	11	27.8	-10.6	746.4009811	2.8	392.62746
2012	12	23.9	-12.2	593.8128538	18.8	392.62746
2013	1	19.4	-16.1	733.7563301	3.3	393.94129
2013	2	20	-10.6	899.0968165	2.5	393.94129
2013	3	29.4	-7.8	1071.875151	1.5	393.94129
2013	4	32.8	-3.3	1163.090874	1.5	393.94129
2013	5	36.7	-1.7	1156.452299	7.7	393.94129
2013	6	43.9	8.3	1111.923794	2.5	393.94129
2013	7	40	14.4	904.3521997	88.4	393.94129
2013	8	36.7	12.2	896.3029707	71.9	393.94129
2013	9	36.1	-1.1	821.6474301	96.5	393.94129
2013	10	22.2	-2.8	753.8026723	0	393.94129
2013	11	21.46	-6.405	769.9430714	5.588	393.94129
2013	12	18.3	-22.2	593.8128538	91.4	393.94129
