"seeds_arriving","cohort_threshold","a","b","c"
0.1,0.1,0.982981356574124,-0.269865237270509,-0.409745463121369
1,0.1,0.128263394438519,0.014274516173832,-0.0809208238295046
10,0.1,0.00859560637296912,0.105412855594935,-0.00310884427064619
100,0.1,0.000857673792516184,0.033535521365367,-0.00462681766131631
1000,0.1,8.62004479977431e-05,0.0104892488665909,0.0146439645286872
0.1,3.16227766016838,0.982981356574124,-0.269865237270509,-0.409745463121369
1,3.16227766016838,0.982981356574124,-0.269865237270509,-0.409745463121369
10,3.16227766016838,0.3100333796966,0.0242701544417172,0.0981697889761706
100,3.16227766016838,0.0407863514030002,0.00415443531923028,-0.0181617014829524
1000,3.16227766016838,0.00414686422688836,0.0008517188792278,0.00776579371149981
0.1,100,0.982981356574124,-0.269865237270509,-0.409745463121369
1,100,0.982981356574124,-0.269865237270509,-0.409745463121369
10,100,0.982981356574124,-0.269865237270509,-0.409745463121369
100,100,0.982981356574124,-0.269865237270509,-0.409745463121369
1000,100,0.128263394438519,0.014274516173832,-0.0809208238295046
