LandisData	PnETSpeciesParameters																				
																					
PnETSpeciesParameters	PreventEstablishment	FolN	SLWmax	SLWDel	TOfol	AmaxA	AmaxB	HalfSat	H3	H4	PsnAgeRed	PsnTMin	PsnTOpt	k	WUEcnst	MaintResp	DNSC	FracBelowG	FracFol	FrActWd	
abiebals	TRUE	1.5	160	0	0.25	5.3	21.5	356	114	235	5	2	19	0.5	7	0.0025	0.05	0.25	0.15	0.00004	<<abiebal
acerrubr	TRUE	2.5	60	0.2	1	-46	71.9	437	131	380	5	4	26	0.58	10	0.0025	0.05	0.33	0.046	0.00007	<<acerrub
acersacc	TRUE	2.4	65	0.2	1	-46	71.9	275	114	235	5	2	23	0.58	7	0.0025	0.05	0.33	0.032	0.00003	<<acersac
betualle	TRUE	2.7	60	0.2	1	-46	71.9	356	114	235	5	3	21	0.58	8	0.0025	0.05	0.33	0.029	0.00004	<<betuall
betupapy	TRUE	2	100	0.2	1	-46	71.9	519	100	150	9	3	21	0.58	9	0.0025	0.05	0.25	0.055	0.00006	<<betupap
fraxamer	TRUE	2.9	60	0.2	1	-46	71.9	437	131	380	5	3	25	0.58	8	0.0025	0.05	0.33	0.035	0.00006	<<fraxame
fraxnigr	TRUE	2.9	55	0.2	1	-46	71.9	519	100	150	5	3	23	0.58	7	0.0025	0.05	0.33	0.035	0.00007	<<fraxnig
>>larilari	TRUE	1.7	155	0	1	5.3	21.5	600	131	380	5	1	20	0.5	14	0.0025	0.05	0.33	0.135	0.00007	<<larilar
piceglau	TRUE	1.3	190	0	0.25	5.3	21.5	437	131	380	5	2	20	0.5	9	0.0025	0.05	0.33	0.22	0.00007	<<picegla
picemari	TRUE	1	195	0	0.25	5.3	21.5	437	131	380	5	2	20	0.5	5	0.0025	0.05	0.33	0.25	0.00007	<<picemar
pinubank	TRUE	1.3	180	0	0.3333	5.3	21.5	600	150	600	5	2	20	0.5	10	0.0025	0.05	0.33	0.25	0.00009	<<pinuban
pinuresi	TRUE	1.4	175	0	0.3333	5.3	21.5	519	150	600	5	3	21	0.5	13	0.0025	0.05	0.33	0.23	0.00007	<<pinures
pinustro	TRUE	1.8	150	0	0.5	5.3	21.5	437	150	600	5	3	21	0.5	8	0.0025	0.05	0.33	0.16	0.00006	<<pinustr
popugran	TRUE	2.8	85	0.2	1	-46	71.9	600	100	150	4	2	22	0.58	9	0.0025	0.05	0.25	0.037	0.00003	<<popugra
poputrem	TRUE	2.6	90	0.2	1	-46	71.9	600	100	150	4	2	22	0.58	9	0.0025	0.05	0.25	0.039	0.00003	<<poputre
prunsero	TRUE	2.7	77	0.2	1	-46	71.9	519	131	380	5	3	25	0.58	6	0.0025	0.05	0.33	0.046	0.00005	<<prunser
queralba	TRUE	3	65	0.2	1	-46	71.9	519	150	600	5	2	26	0.58	11	0.0025	0.05	0.33	0.036	0.00007	<<queralb
querelli	TRUE	2.9	70	0.2	1	-46	71.9	519	150	600	5	2	21	0.58	12	0.0025	0.05	0.33	0.032	0.00005	<<querell
querrubr	TRUE	2.8	75	0.2	1	-46	71.9	437	131	380	5	2	24	0.58	8	0.0025	0.05	0.33	0.035	0.00004	<<querrub
thujocci	TRUE	1.1	165	0	0.5	5.3	21.5	437	114	235	5	3	20	0.58	5	0.0025	0.05	0.33	0.22	0.00007	<<thujocc
tiliamer	TRUE	3	50	0.2	1	-46	71.9	356	131	380	5	3	23	0.58	8	0.0025	0.05	0.33	0.029	0.00005	<<tiliame
tsugcana	TRUE	1.4	150	0	0.3333	5.3	21.5	230	114	235	5	3	21	0.5	7	0.0025	0.05	0.33	0.15	0.00005	<<tsugcan
woodywet	TRUE	1.5	160	0	0.25	5.3	21.5	356	114	235	5	2	19	0.5	13	0.0025	0.05	0.25	0.17345	0.00002	<<psudospecies
upnonfor	TRUE	1.5	160	0	0.25	5.3	21.5	356	114	235	5	2	19	0.5	13	0.0025	0.05	0.25	0.17345	0.00002	<<psudospecies
herbwetl	TRUE	1.5	160	0	0.25	5.3	21.5	356	114	235	5	2	19	0.5	13	0.0025	0.05	0.25	0.17345	0.00002	<<psudospecies
fagugran	TRUE	3	55	0.2	1	-46	71.9	437	131	380	5	3	25	0.58	15	0.0025	0.05	0.33	0.0334	0.00006	<<dummyvalues
fraxpenn	TRUE	3	55	0.2	1	-46	71.9	437	131	380	5	3	25	0.58	15	0.0025	0.05	0.33	0.0334	0.00006	<<dummyvalues
popubals	TRUE	3	55	0.2	1	-46	71.9	437	131	380	5	3	25	0.58	15	0.0025	0.05	0.33	0.0334	0.00006	<<dummyvalues
quervelu	TRUE	3	55	0.2	1	-46	71.9	437	131	380	5	3	25	0.58	15	0.0025	0.05	0.33	0.0334	0.00006	<<dummyvalues
quermacr	TRUE	3	55	0.2	1	-46	71.9	437	131	380	5	3	25	0.58	15	0.0025	0.05	0.33	0.0334	0.00006	<<dummyvalues
carycord	TRUE	3	55	0.2	1	-46	71.9	437	131	380	5	3	25	0.58	15	0.0025	0.05	0.33	0.0334	0.00006	<<dummyvalues
