LandisData	PnETSpeciesParameters																										
																											
>>calibrated for Wythers=true																											
PnETSpeciesParameters	FolN	SLWmax	SLWDel	TOfol	AmaxA	AmaxB	HalfSat	H3	H4	PsnAgeRed	PsnTMin	PsnTOpt	k	FracFol	FrActWd	KWdLit	FolLignin	EstMoist	EstRad	CO2HalfSatEff
abiebals	1.1	170	0	0.25	5.3	21.5	154	105	143	5	2	19	0.5	0.07	0.00004	0.023	0.2	3.1	3.1	-0.1		
acerrubr	2.1	60	0.2	1	-46	71.9	154	111	147	5	3	26	0.58	0.02	0.00004	0.081	0.11	3	3	-0.1	
acersacc	2.0	47	0.2	1	-46	71.9	102	105	143	5	3	23	0.58	0.02	0.00004	0.075	0.11	3.1	3.1	-0.05	
betualle	2.1	51	0.2	1	-46	71.9	154	105	143	5	3	21	0.58	0.02	0.00004	0.045	0.2	3.1	3.1	-0.1	
betupapy	2.1	88	0.2	1	-46	71.9	257	100	140	5	3	21	0.58	0.022	0.00004	0.045	0.2	3.1	3.1	-0.2	
fraxamer	2.8	50	0.2	1	-46	71.9	205	111	147	5	3	25	0.58	0.015	0.00004	0.075	0.12	3.1	3.1	-0.15	
piceglau	1.2	165	0	0.25	5.3	21.5	205	111	147	5	2	21	0.5	0.07	0.00004	0.025	0.2	3.1	3.1	-0.15	
pinubank	1.5	180	0	0.3333	5.3	21.5	309	118	153	5	2	20	0.5	0.07	0.00004	0.025	0.2	3.1	3.1	-0.25	
pinuresi	1.4	185	0	0.3333	5.3	21.5	257	118	153	5	3	21	0.5	0.075	0.00004	0.023	0.2	3.1	3.1	-0.2	
pinustro	1.6	185	0	0.5	5.3	21.5	205	111	147	5	3	21	0.5	0.075	0.00004	0.125	0.25	3.1	3.1	-0.15	
poputrem	2.3	85	0.2	1	-46	71.9	309	100	140	5	2	21	0.58	0.02	0.00004	0.043	0.2	3.1	3.1	-0.25	
querelli	2.7	55	0.2	1	-46	71.9	257	118	153	5	2	21	0.58	0.015	0.00004	0.05	0.2	3.1	3.1	-0.2	
querrubr	2.3	60	0.2	1	-46	71.9	205	111	147	5	2	24	0.58	0.02	0.00004	0.075	0.17	3.1	3.1	-0.15	
thujocci	1.0	125	0	0.5	5.3	21.5	205	105	143	5	3	20	0.58	0.08	0.00006	0.026	0.2	3.1	3.1	-0.15	
tiliamer	2.7	42	0.2	1	-46	71.9	154	111	147	5	3	23	0.58	0.015	0.00004	0.075	0.12	3.1	3.1	-0.1	
tsugcana	1.3	115	0	0.3333	5.3	21.5	92	105	143	5	3	21	0.5	0.07	0.00004	0.028	0.2	3.1	3.1	-0.05	
	
