LandisData   SaxtonAndRawlsParameters					
SaxtonAndRawlsParameters	Sand	clay	pctOM	densFactor	gravel
>>---------------------------------------					
SAND	0.85	0.04	2.08	1	0
LOSA	0.8	0.05	2.33	1	0
SALO	0.63	0.1	2.52	1	0
LOAM	0.41	0.19	3.06	1	0
SILO	0.15	0.18	3.05	1	0
SILT	0.05	0.1	1.89	1	0
SNCL	0.53	0.26	2.29	1	0
CLLO	0.29	0.32	3.51	1	0
SLCL	0.09	0.32	4.06	1	0
SACL	0.5	0.4	2.5	1	0
SICL	0.08	0.47	3.59	1	0
CLAY	0.13	0.55	2.88	1	0
TEST3	1.00	0	2.5	1	0
TEST4	0.96	0	2.5	1	0
TEST5	0.91	0	2.5	1	0
TEST6	0.87	0	2.5	1	0
TEST7	0.82	0	2.5	1	0
TEST8	0.78	0	2.5	1	0
TEST9	0.73	0	2.5	1	0
TEST10	0.69	0	2.5	1	0
TEST11	0.65	0	2.5	1	0
TEST13	0.56	0	2.5	1	0
TEST15	0.48	0	2.5	1	0
TEST17	0.41	0	2.5	1	0
TEST19	0.33	0	2.5	1	0
TEST21	0.26	0	2.5	1	0
TEST23	0.20	0	2.5	1	0
TEST25	0.13	0	2.5	1	0
TEST27	0.07	0	2.5	1	0
TEST29	0.02	0	2.5	1	0	
